"""WIID""","""Description""",Type,Status,Date
81359448,Research Client Check Copy,WI2,Open,2019-02-28
81359447,Research Client Check Copy,WI2,Open,2018-01-28
81359456,Research Client Check Copy,WI2,Open,2022-02-12
81359463,Research Client Check Copy,WI2,Open,2017-04-23
81359458,Research Client Check Copy,WI2,Open,2017-03-28
81359459,Research Client Check Copy,WI2,Open,2021-07-01
81359445,Research Client Check Copy,WI2,Open,2021-11-05
81359442,Research Client Check Copy,WI2,Open,2020-08-24
81359444,Research Client Check Copy,WI2,Open,2021-11-15
81359461,Research Client Check Copy,WI2,Open,2021-02-28
81359460,Research Client Check Copy,WI2,Open,2020-02-01
81359465,Research Client Check Copy,WI2,Open,2019-08-18
81359462,Research Client Check Copy,WI2,Open,2017-08-08
81359443,Research Client Check Copy,WI2,Open,2017-11-11
81359455,Research Client Check Copy,WI2,Open,2020-04-10
81359453,Research Client Check Copy,WI2,Open,2017-08-16
81359457,Research Client Check Copy,WI2,Open,2021-12-17
81359464,Research Client Check Copy,WI2,Open,2017-10-02
81359454,Research Client Check Copy,WI2,Open,2018-08-26
81359446,Research Client Check Copy,WI2,Open,2018-07-08
81359452,Research Client Check Copy,WI2,Open,2020-11-17
81359451,Research Client Check Copy,WI2,Open,2021-12-30
81359450,Research Client Check Copy,WI2,Open,2018-05-07
81359449,Research Client Check Copy,WI2,Open,2018-02-24
